ccle	efo
143B_BONE	EFO_0006355
22RV1_PROSTATE	EFO_0002095
2313287_STOMACH	EFO_0006528
5637_URINARY_TRACT	EFO_0002096
59M_OVARY	EFO_0006358
639V_URINARY_TRACT	EFO_0002097
647V_URINARY_TRACT	EFO_0002098
769P_KIDNEY	EFO_0002099
786O_KIDNEY	EFO_0005707
A101D_SKIN	EFO_0002100
A172_CENTRAL_NERVOUS_SYSTEM	EFO_0002101
A204_SOFT_TISSUE	EFO_0002102
A2058_SKIN	EFO_0006361
A2780_OVARY	EFO_0006362
A375_SKIN	EFO_0002103
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006532
A427_LUNG	EFO_0002104
A431_SKIN	EFO_0006268
A498_KIDNEY	EFO_0002105
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006533
A549_LUNG	EFO_0001086
A673_BONE	EFO_0002106
ABC1_LUNG	EFO_0002813
ACHN_KIDNEY	EFO_0002108
AGS_STOMACH	EFO_0002109
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006534
AN3CA_ENDOMETRIUM	EFO_0002110
ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002111
ASPC1_PANCREAS	EFO_0002112
AU565_BREAST	EFO_0001087
AZ521_SMALL_INTESTINE	EFO_0002814
BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002044
BC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002046
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002113
BEN_LUNG	EFO_0006537
BFTC905_URINARY_TRACT	EFO_0002115
BFTC909_KIDNEY	EFO_0006538
BHT101_THYROID	EFO_0002116
BHY_UPPER_AERODIGESTIVE_TRACT	EFO_0006539
BICR10_UPPER_AERODIGESTIVE_TRACT	EFO_0006540
BICR22_UPPER_AERODIGESTIVE_TRACT	EFO_0006541
BICR31_UPPER_AERODIGESTIVE_TRACT	EFO_0006542
BICR78_UPPER_AERODIGESTIVE_TRACT	EFO_0006543
BT20_BREAST	EFO_0001092
BT474_BREAST	EFO_0001093
BT483_BREAST	EFO_0001095
BT549_BREAST	EFO_0001096
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002118
BXPC3_PANCREAS	EFO_0002709
C2BBE1_LARGE_INTESTINE	EFO_0006546
C32_SKIN	EFO_0006364
C33A_CERVIX	EFO_0002120
C3A_LIVER	EFO_0002121
C4I_CERVIX	EFO_0002122
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002124
CACO2_LARGE_INTESTINE	EFO_0001099
CADOES1_BONE	EFO_0002818
CAKI1_KIDNEY	EFO_0002149
CAKI2_KIDNEY	EFO_0002150
CAL120_BREAST	EFO_0005356
CAL12T_LUNG	EFO_0006547
CAL148_BREAST	EFO_0005357
CAL27_UPPER_AERODIGESTIVE_TRACT	EFO_0006366
CAL51_BREAST	EFO_0005358
CAL54_KIDNEY	EFO_0002125
CAL62_THYROID	EFO_0002126
CAL851_BREAST	EFO_0005359
CALU1_LUNG	EFO_0002151
CALU3_LUNG	EFO_0002819
CALU6_LUNG	EFO_0002152
CAMA1_BREAST	EFO_0001100
CAOV3_OVARY	EFO_0002148
CAPAN1_PANCREAS	EFO_0002153
CAPAN2_PANCREAS	EFO_0002154
CAR1_LARGE_INTESTINE	EFO_0006548
CASKI_CERVIX	EFO_0006549
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	EFO_0002127
CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002128
CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002130
CFPAC1_PANCREAS	EFO_0006551
CGTHW1_THYROID	EFO_0002131
CHAGOK1_LUNG	EFO_0002155
CHL1_SKIN	EFO_0002132
CHP212_AUTONOMIC_GANGLIA	EFO_0002133
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006367
CL11_LARGE_INTESTINE	EFO_0006368
CL34_LARGE_INTESTINE	EFO_0006369
CL40_LARGE_INTESTINE	EFO_0006370
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0003037
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002134
COLO201_LARGE_INTESTINE	EFO_0002135
COLO205_LARGE_INTESTINE	EFO_0003082
COLO668_LUNG	EFO_0002138
COLO678_LARGE_INTESTINE	EFO_0006371
COLO679_SKIN	EFO_0006372
COLO680N_OESOPHAGUS	EFO_0006373
COLO699_LUNG	EFO_0006374
COLO704_OVARY	EFO_0002139
COLO741_SKIN	EFO_0006375
COLO783_SKIN	EFO_0006376
COLO792_SKIN	EFO_0006377
COLO800_SKIN	EFO_0006378
COLO829_SKIN	EFO_0002140
COLO849_SKIN	EFO_0006379
CORL105_LUNG	EFO_0002141
CORL23_LUNG	EFO_0002142
CORL279_LUNG	EFO_0002143
CORL47_LUNG	EFO_0006556
CORL88_LUNG	EFO_0002144
COV318_OVARY	EFO_0006382
COV362_OVARY	EFO_0006383
COV434_OVARY	EFO_0006384
COV504_OVARY	EFO_0006385
COV644_OVARY	EFO_0006386
CPCN_LUNG	EFO_0006559
CROAP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002145
CW2_LARGE_INTESTINE	EFO_0006560
D283MED_CENTRAL_NERVOUS_SYSTEM	EFO_0002156
D341MED_CENTRAL_NERVOUS_SYSTEM	EFO_0002157
DANG_PANCREAS	EFO_0006562
DAOY_CENTRAL_NERVOUS_SYSTEM	EFO_0005698
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002169
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	EFO_0002159
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002158
DETROIT562_UPPER_AERODIGESTIVE_TRACT	EFO_0002170
DG75_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002160
DKMG_CENTRAL_NERVOUS_SYSTEM	EFO_0002161
DLD1_LARGE_INTESTINE	EFO_0006389
DMS114_LUNG	EFO_0002162
DMS153_LUNG	EFO_0002163
DMS273_LUNG	EFO_0002164
DMS454_LUNG	EFO_0006390
DMS53_LUNG	EFO_0002165
DMS79_LUNG	EFO_0002166
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0007074
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002167
DOK_UPPER_AERODIGESTIVE_TRACT	EFO_0006564
DOTC24510_CERVIX	EFO_0002171
DU145_PROSTATE	EFO_0005441
DU4475_BREAST	EFO_0002168
DV90_LUNG	EFO_0006565
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002172
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002173
EB3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002174
EBC1_LUNG	EFO_0003115
EFM192A_BREAST	EFO_0006568
EFM19_BREAST	EFO_0002175
EFO27_OVARY	EFO_0006571
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006572
EKVX_LUNG	EFO_0006786
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002176
EPLC272H_LUNG	EFO_0006573
ES2_OVARY	EFO_0002177
EVSAT_BREAST	EFO_0006574
FADU_UPPER_AERODIGESTIVE_TRACT	EFO_0002178
FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006393
FU97_STOMACH	EFO_0002054
G361_SKIN	EFO_0006394
G401_SOFT_TISSUE	EFO_0002179
G402_SOFT_TISSUE	EFO_0002180
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002181
GCT_SOFT_TISSUE	EFO_0002182
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002183
GP2D_LARGE_INTESTINE	EFO_0006575
GP5D_LARGE_INTESTINE	EFO_0006576
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005369
GRM_SKIN	EFO_0006577
H2369_PLEURA	EFO_0006678
H4_CENTRAL_NERVOUS_SYSTEM	EFO_0002184
H9_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0003045
HCC1143_BREAST	EFO_0001169
HCC1171_LUNG	EFO_0003126
HCC1187_BREAST	EFO_0001170
HCC1195_LUNG	EFO_0005371
HCC1359_LUNG	EFO_0003128
HCC1395_BREAST	EFO_0002185
HCC1419_BREAST	EFO_0005372
HCC1428_BREAST	EFO_0001171
HCC1500_BREAST	EFO_0001172
HCC1569_BREAST	EFO_0001173
HCC1599_BREAST	EFO_0002186
HCC15_LUNG	EFO_0003129
HCC1806_BREAST	EFO_0005373
HCC1937_BREAST	EFO_0001174
HCC1954_BREAST	EFO_0001175
HCC202_BREAST	EFO_0001176
HCC2157_BREAST	EFO_0001177
HCC2218_BREAST	EFO_0002187
HCC2279_LUNG	EFO_0006431
HCC2935_LUNG	EFO_0005375
HCC2998_LARGE_INTESTINE	EFO_0005370
HCC33_LUNG	EFO_0006417
HCC364_LUNG	EFO_0006420
HCC366_LUNG	EFO_0003131
HCC38_BREAST	EFO_0001180
HCC4006_LUNG	EFO_0003132
HCC44_LUNG	EFO_0003133
HCC461_LUNG	EFO_0003134
HCC515_LUNG	EFO_0003135
HCC70_BREAST	EFO_0001181
HCC78_LUNG	EFO_0003136
HCC827_LUNG	EFO_0003137
HCC95_LUNG	EFO_0003138
HCT116_LARGE_INTESTINE	EFO_0002824
HCT15_LARGE_INTESTINE	EFO_0002188
HCT8_LARGE_INTESTINE	EFO_0002189
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002190
HEC1A_ENDOMETRIUM	EFO_0002191
HEC1B_ENDOMETRIUM	EFO_0002192
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002193
HELA_CERVIX	EFO_0001185
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006579
HEP3B217_LIVER	EFO_0002205
HEPG2_LIVER	EFO_0001187
HEY_OVARY	EFO_0006580
HGC27_STOMACH	EFO_0006581
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002194
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002793
HMCB_SKIN	EFO_0002195
HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006583
HOP62_LUNG	EFO_0006439
HOP92_LUNG	EFO_0006440
HOS_BONE	EFO_0002196
HPAC_PANCREAS	EFO_0002197
HPAFII_PANCREAS	EFO_0002198
HS255T_FIBROBLAST	EFO_0006584
HS294T_SKIN	EFO_0006585
HS578T_BREAST	EFO_0001192
HS675T_FIBROBLAST	EFO_0006587
HS683_CENTRAL_NERVOUS_SYSTEM	EFO_0006441
HS695T_SKIN	EFO_0006588
HS746T_STOMACH	EFO_0006589
HS766T_PANCREAS	EFO_0006590
HS839T_FIBROBLAST	EFO_0006591
HS852T_SKIN	EFO_0006592
HS895T_FIBROBLAST	EFO_0006593
HS936T_SKIN	EFO_0006594
HS940T_FIBROBLAST	EFO_0006595
HT1080_SOFT_TISSUE	EFO_0002059
HT115_LARGE_INTESTINE	EFO_0006442
HT1197_URINARY_TRACT	EFO_0002202
HT1376_URINARY_TRACT	EFO_0002203
HT144_SKIN	EFO_0006443
HT29_LARGE_INTESTINE	EFO_0001193
HT3_CERVIX	EFO_0002204
HT55_LARGE_INTESTINE	EFO_0006444
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002200
HUH1_LIVER	EFO_0006445
HUH7_LIVER	EFO_0005384
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002207
HUPT3_PANCREAS	EFO_0006596
HUPT4_PANCREAS	EFO_0002208
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002209
IGR37_SKIN	EFO_0006597
IGROV1_OVARY	EFO_0005385
IM95_STOMACH	EFO_0006446
IMR32_AUTONOMIC_GANGLIA	EFO_0001195
INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005386
IPC298_SKIN	EFO_0006447
J82_URINARY_TRACT	EFO_0002210
JAR_PLACENTA	EFO_0002211
JEG3_PLACENTA	EFO_0002066
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005387
JHH1_LIVER	EFO_0006599
JHH2_LIVER	EFO_0006600
JHH4_LIVER	EFO_0006601
JHH5_LIVER	EFO_0006602
JHH7_LIVER	EFO_0006603
JIMT1_BREAST	EFO_0005388
JIYOYEP2003_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002215
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006605
JL1_PLEURA	EFO_0006448
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002212
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002796
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005476
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002214
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002067
KARPAS1106P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006606
KARPAS231_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005389
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005390
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005719
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006449
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006607
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002224
KATOIII_STOMACH	EFO_0002217
KCIMOH1_PANCREAS	EFO_0006608
KELLY_AUTONOMIC_GANGLIA	EFO_0002069
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002218
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006609
KLE_ENDOMETRIUM	EFO_0002220
KLM1_PANCREAS	EFO_0006610
KM12_LARGE_INTESTINE	EFO_0006282
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006611
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005694
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006612
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006614
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006615
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006616
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006617
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006619
KNS62_LUNG	EFO_0006620
KP2_PANCREAS	EFO_0006621
KP3_PANCREAS	EFO_0006622
KP4_PANCREAS	EFO_0006623
KPL1_BREAST	EFO_0002221
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002222
KURAMOCHI_OVARY	EFO_0006625
KYSE140_OESOPHAGUS	EFO_0006626
KYSE150_OESOPHAGUS	EFO_0006627
KYSE180_OESOPHAGUS	EFO_0006628
KYSE270_OESOPHAGUS	EFO_0006629
KYSE30_OESOPHAGUS	EFO_0002223
KYSE450_OESOPHAGUS	EFO_0006630
KYSE510_OESOPHAGUS	EFO_0006631
KYSE520_OESOPHAGUS	EFO_0006632
KYSE70_OESOPHAGUS	EFO_0006633
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006450
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002225
LC1F_LUNG	EFO_0002827
LC2AD_LUNG	EFO_0003140
LCLC103H_LUNG	EFO_0006634
LCLC97TM1_LUNG	EFO_0006635
LK2_LUNG	EFO_0003141
LN18_CENTRAL_NERVOUS_SYSTEM	EFO_0006636
LN229_CENTRAL_NERVOUS_SYSTEM	EFO_0006637
LNCAPCLONEFGC_PROSTATE	EFO_0005726
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0007112
LOUNH91_LUNG	EFO_0006638
LOVO_LARGE_INTESTINE	EFO_0006639
LOXIMVI_SKIN	EFO_0006284
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0003055
LS1034_LARGE_INTESTINE	EFO_0002226
LS180_LARGE_INTESTINE	EFO_0006640
LU135_LUNG	EFO_0002828
LXF289_LUNG	EFO_0006641
M059J_CENTRAL_NERVOUS_SYSTEM	EFO_0005697
M059K_CENTRAL_NERVOUS_SYSTEM	EFO_0006451
M14_SKIN	EFO_0003056
MALME3M_SKIN	EFO_0002243
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002228
MCAS_OVARY	EFO_0006453
MCCAR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002229
MCF7_BREAST	EFO_0001203
MCIXC_AUTONOMIC_GANGLIA	EFO_0002230
MDAMB134VI_BREAST	EFO_0001205
MDAMB157_BREAST	EFO_0001206
MDAMB175VII_BREAST	EFO_0001208
MDAMB231_BREAST	EFO_0001209
MDAMB330_BREAST	EFO_0006454
MDAMB361_BREAST	EFO_0001211
MDAMB415_BREAST	EFO_0001212
MDAMB436_BREAST	EFO_0001214
MDAMB453_BREAST	EFO_0001215
MDAMB468_BREAST	EFO_0001216
